Date,Shift Member Name,Blocked IP Address,Reason for Blocking,Time of Blocking,Approval Status,Remarks/Additional Notes,Abusive Percentage(AbuseIPDB),Status(Blocked / Pending)
YYYY-MM-DD,[Name],[IP Address],"[E.g., Malicious Activity]",HH:MM AM/PM,,[Notes or follow-up actions],,
03-02-2026,Prathamesh Pendkar,45.88.97.199,Internet Utilities Europe and Asia Limited,1:12:00 AM,Approved,NA,100,Blocked
03-02-2026,Prathamesh Pendkar,130.12.182.149,Netiface LLC,1:12:00 AM,Approved,,80,Blocked
03-02-2026,Prathamesh Pendkar,85.203.15.234,Falco Networks B.V.,1:12:00 AM,Approved,,65,Blocked
03-02-2026,Prathamesh Pendkar,85.203.15.242,Falco Networks B.V.,1:12:00 AM,Approved,,59,Blocked
03-02-2026,Prathamesh Pendkar,185.126.114.110,SERVER.UA LLC,1:12:00 AM,Approved,,57,Blocked
03-03-2026,Prathamesh Pendkar,130.94.40.6,LIGHT NODE LIMITED,11:59:00 PM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,3.139.242.79,Amazon Technologies Inc.,12:59:00 AM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,85.203.15.197,Falco Networks B.V.,1:59:00 AM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,85.203.15.97,Falco Networks B.V.,2:59:00 AM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,81.199.26.23,Internet Utilities Europe and Asia Limited,3:59:00 AM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,81.199.26.30,Internet Utilities Europe and Asia Limited,4:59:00 AM,Pending,,,Pending
03-03-2026,Prathamesh Pendkar,85.203.15.192,Falco Networks B.V.,5:59:00 AM,Pending,,,Pending
03-03-2026,Tanmay Kudale,20.98.161.145,Cloudflare IP,9:00:00 PM,Pending,,100,Pending
03-03-2026,Tanmay Kudale,20.151.224.126,Cloudflare IP,9:00:00 PM,Pending,,100,Pending
03-03-2026,Tanmay Kudale,51.89.115.255,Cloudflare IP,9:00:00 PM,Pending,,67,Pending
03-03-2026,Tanmay Kudale,51.158.62.94,Cloudflare IP,9:00:00 PM,Pending,,63,Pending
03-03-2026,Tanmay Kudale,157.230.43.50,Cloudflare IP,9:00:00 PM,Pending,,100,Pending
03-04-2026,Harsh Navgale,20.220.232.240,Cloudflare IP,5:30:00 AM,Pending,,0,Pending
03-04-2026,Harsh Navgale,20.193.139.7,Cloudflare IP,5:30:00 AM,Pending,,14,Pending
03-04-2026,Harsh Navgale,20.107.201.194,Cloudflare IP,5:30:00 AM,Pending,,19,Pending
03-04-2026,Harsh Navgale,20.220.232.101,Cloudflare IP,5:30:00 AM,Pending,,19,Pending
03-04-2026,Harsh Navgale,20.151.11.236,Cloudflare IP,5:30:00 AM,Pending,,27,Pending
03-04-2026,Harsh Navgale,20.63.41.168,Cloudflare IP,5:30:00 AM,Pending,,39,Pending
03-04-2026,Harsh Navgale,20.171.9.142,Cloudflare IP,5:30:00 AM,Pending,,43,Pending
03-04-2026,Harsh Navgale,20.104.206.150,Cloudflare IP,5:30:00 AM,Pending,,45,Pending
03-04-2026,Harsh Navgale,20.43.120.29,Cloudflare IP,5:30:00 AM,Pending,,53,Pending
03-04-2026,Harsh Navgale,20.204.24.246,Cloudflare IP,5:30:00 AM,Pending,,55,Pending
03-04-2026,Harsh Navgale,20.193.233.247,Cloudflare IP,5:30:00 AM,Pending,,56,Pending
03-04-2026,Harsh Navgale,20.43.120.27,Cloudflare IP,5:30:00 AM,Pending,,57,Pending
